,user_id,items
50,50,"[57, 61, 409, 430, 23, 84, 9, 100, 15, 384, 17, 398, 399, 14, 22, 420, 431, 26]"
51,51,"[398, 14, 57, 23, 22, 61, 425, 54, 92, 17, 420, 383, 84, 25, 430, 412, 382, 402]"
52,52,"[57, 84, 61, 23, 398, 82, 409, 402, 55, 22, 430, 420, 396, 14, 382, 85, 383, 395]"
53,53,"[57, 14, 61, 22, 19, 398, 17, 382, 55, 430, 84, 402, 15, 440, 409, 5, 383, 23]"
54,54,"[57, 14, 17, 22, 61, 23, 398, 84, 402, 409, 430, 16, 382, 420, 19, 383, 100, 9]"
55,55,"[57, 84, 61, 14, 430, 398, 22, 54, 100, 409, 23, 420, 383, 17, 82, 19, 9, 395]"
56,56,"[14, 54, 15, 55, 23, 19, 89, 398, 409, 82, 386, 420, 57, 169, 17, 383, 88, 432]"
57,57,"[57, 61, 430, 14, 84, 398, 25, 22, 9, 23, 82, 55, 425, 19, 85, 17, 402, 169]"
58,58,"[22, 14, 57, 61, 432, 383, 798, 23, 89, 84, 0, 425, 712, 42, 15, 398, 55, 376]"
59,59,"[55, 198, 173, 169, 171, 808, 14, 804, 798, 172, 398, 799, 420, 812, 54, 432, 22, 179]"
60,60,"[57, 14, 61, 23, 84, 398, 409, 22, 17, 430, 382, 383, 41, 420, 402, 19, 425, 82]"
61,61,"[57, 14, 61, 420, 84, 22, 382, 409, 17, 23, 398, 19, 85, 388, 383, 5, 88, 169]"
62,62,"[0, 55, 440, 14, 57, 22, 398, 17, 23, 84, 61, 379, 19, 425, 5, 376, 382, 384]"
63,63,"[169, 798, 179, 170, 89, 146, 804, 171, 173, 157, 23, 172, 88, 14, 808, 5, 165, 149]"
64,64,"[61, 425, 55, 57, 440, 14, 22, 84, 393, 89, 430, 432, 398, 23, 441, 376, 383, 54]"
65,65,"[14, 57, 398, 19, 22, 420, 409, 402, 395, 388, 23, 82, 17, 84, 396, 61, 87, 169]"
66,66,"[57, 41, 61, 14, 402, 22, 398, 82, 9, 42, 425, 430, 409, 400, 23, 84, 43, 21]"
67,67,"[55, 14, 409, 17, 169, 89, 170, 23, 384, 382, 19, 383, 398, 402, 9, 84, 22, 88]"
68,68,"[57, 14, 22, 84, 17, 61, 19, 23, 409, 398, 430, 379, 55, 402, 5, 425, 382, 88]"
69,69,"[398, 61, 57, 409, 17, 14, 23, 19, 84, 22, 402, 16, 382, 432, 425, 42, 430, 82]"
70,70,"[57, 61, 398, 409, 23, 84, 403, 14, 22, 9, 382, 383, 100, 420, 430, 388, 17, 88]"
71,71,"[57, 61, 55, 398, 84, 22, 425, 23, 14, 16, 402, 17, 41, 383, 420, 430, 411, 393]"
72,72,"[398, 23, 17, 14, 57, 61, 402, 22, 19, 409, 84, 382, 92, 42, 383, 432, 41, 420]"
73,73,"[14, 57, 84, 61, 23, 398, 17, 409, 383, 420, 382, 432, 22, 396, 19, 25, 15, 430]"
74,74,"[14, 57, 23, 54, 409, 41, 379, 61, 5, 55, 376, 22, 383, 412, 102, 388, 17, 19]"
75,75,"[57, 61, 14, 409, 398, 16, 22, 169, 84, 23, 432, 430, 17, 382, 88, 9, 420, 798]"
76,76,"[54, 61, 14, 57, 425, 55, 23, 398, 19, 22, 430, 17, 84, 409, 420, 432, 393, 383]"
77,77,"[57, 61, 84, 14, 82, 22, 17, 0, 430, 398, 420, 19, 396, 382, 5, 379, 30, 23]"
78,78,"[57, 14, 61, 430, 17, 398, 432, 22, 425, 25, 41, 383, 89, 16, 84, 88, 409, 24]"
79,79,"[89, 0, 391, 199, 92, 149, 812, 231, 55, 813, 5, 229, 712, 160, 82, 42, 420, 384]"
80,80,"[61, 440, 57, 23, 398, 84, 14, 21, 432, 62, 430, 384, 441, 55, 409, 17, 393, 5]"
81,81,"[57, 14, 61, 420, 409, 382, 17, 5, 19, 41, 42, 23, 383, 169, 402, 22, 384, 9]"
82,82,"[55, 57, 14, 84, 54, 409, 22, 61, 23, 9, 82, 398, 17, 420, 169, 430, 382, 440]"
83,83,"[61, 14, 57, 398, 409, 23, 17, 22, 84, 19, 16, 411, 85, 29, 100, 395, 432, 420]"
84,84,"[57, 61, 398, 17, 22, 14, 430, 23, 409, 84, 402, 19, 25, 88, 382, 16, 384, 380]"
85,85,"[55, 425, 23, 14, 31, 54, 61, 402, 398, 19, 804, 57, 42, 712, 396, 412, 89, 29]"
86,86,"[398, 57, 14, 23, 17, 61, 84, 409, 22, 420, 19, 388, 402, 395, 100, 29, 383, 430]"
87,87,"[57, 61, 14, 84, 22, 23, 55, 409, 17, 16, 398, 382, 402, 383, 430, 432, 425, 88]"
88,88,"[55, 57, 22, 430, 14, 61, 19, 0, 17, 84, 23, 100, 104, 420, 398, 382, 409, 379]"
89,89,"[55, 57, 61, 398, 425, 23, 22, 430, 84, 14, 409, 169, 17, 54, 420, 170, 402, 82]"
90,90,"[54, 55, 420, 398, 14, 438, 425, 41, 61, 412, 57, 21, 29, 23, 84, 27, 395, 42]"
91,91,"[14, 55, 16, 57, 23, 409, 22, 17, 425, 402, 169, 398, 171, 61, 170, 84, 19, 383]"
92,92,"[14, 16, 169, 22, 382, 57, 55, 425, 398, 61, 376, 409, 420, 19, 17, 100, 89, 808]"
93,93,"[55, 172, 169, 170, 173, 84, 798, 61, 57, 179, 54, 88, 198, 812, 157, 808, 171, 396]"
94,94,"[55, 425, 14, 54, 89, 400, 42, 712, 57, 23, 31, 376, 402, 16, 412, 248, 171, 61]"
95,95,"[57, 14, 22, 61, 17, 409, 84, 23, 16, 398, 19, 430, 382, 376, 402, 21, 5, 395]"
96,96,"[55, 402, 57, 61, 398, 425, 22, 14, 41, 430, 420, 88, 42, 169, 400, 84, 23, 382]"
97,97,"[57, 61, 22, 17, 23, 19, 15, 420, 14, 398, 26, 432, 383, 84, 409, 430, 85, 382]"
98,98,"[14, 84, 57, 61, 23, 22, 409, 19, 382, 17, 432, 420, 55, 383, 16, 9, 430, 398]"
99,99,"[57, 61, 23, 84, 22, 55, 17, 398, 19, 14, 16, 402, 29, 440, 425, 82, 380, 432]"
100,100,"[57, 61, 409, 84, 14, 22, 23, 398, 42, 402, 430, 25, 16, 440, 19, 420, 89, 17]"
101,101,"[55, 104, 169, 54, 798, 57, 26, 23, 100, 14, 170, 84, 398, 425, 61, 712, 92, 432]"
102,102,"[84, 57, 61, 82, 23, 430, 16, 398, 22, 395, 409, 420, 100, 17, 87, 5, 27, 440]"
103,103,"[799, 84, 798, 808, 57, 804, 198, 807, 420, 14, 712, 425, 391, 55, 61, 392, 67, 383]"
104,104,"[57, 61, 23, 55, 22, 84, 425, 14, 54, 396, 398, 430, 383, 420, 382, 19, 388, 17]"
105,105,"[57, 61, 398, 14, 55, 84, 22, 23, 17, 430, 19, 420, 400, 402, 86, 409, 16, 440]"
106,106,"[57, 14, 22, 61, 84, 440, 17, 19, 712, 420, 23, 82, 398, 409, 87, 430, 382, 432]"
107,107,"[57, 55, 61, 84, 382, 14, 398, 430, 169, 82, 25, 23, 383, 170, 440, 5, 22, 92]"
108,108,"[57, 409, 14, 16, 425, 89, 17, 41, 61, 42, 169, 84, 25, 31, 402, 396, 23, 398]"
109,109,"[57, 61, 398, 409, 425, 16, 55, 430, 14, 22, 23, 84, 384, 41, 420, 400, 440, 17]"
110,110,"[14, 26, 380, 379, 15, 61, 19, 402, 0, 396, 57, 89, 55, 41, 23, 42, 409, 382]"
111,111,"[14, 57, 61, 22, 23, 383, 55, 382, 5, 19, 100, 384, 102, 82, 398, 0, 89, 17]"
112,112,"[382, 380, 384, 379, 377, 383, 5, 14, 420, 169, 61, 57, 88, 398, 432, 19, 376, 409]"
113,113,"[23, 22, 57, 383, 382, 89, 19, 15, 84, 804, 396, 14, 169, 61, 88, 798, 425, 31]"
114,114,"[57, 61, 398, 84, 22, 55, 420, 17, 14, 409, 23, 430, 100, 92, 388, 383, 19, 425]"
115,115,"[57, 14, 23, 17, 430, 61, 84, 382, 420, 22, 398, 19, 409, 15, 379, 392, 440, 383]"
116,116,"[57, 14, 398, 22, 61, 84, 23, 43, 17, 100, 409, 433, 64, 402, 16, 54, 5, 41]"
117,117,"[55, 54, 57, 420, 14, 23, 22, 61, 82, 5, 84, 398, 425, 430, 31, 0, 384, 409]"
118,118,"[14, 15, 61, 54, 425, 248, 89, 0, 57, 398, 55, 19, 408, 22, 9, 88, 42, 29]"
119,119,"[14, 57, 17, 23, 61, 22, 409, 19, 398, 16, 402, 420, 382, 84, 41, 383, 42, 64]"
120,120,"[57, 14, 61, 22, 17, 84, 430, 16, 23, 9, 398, 86, 409, 19, 85, 383, 440, 420]"
121,121,"[57, 84, 61, 55, 430, 432, 409, 14, 25, 89, 22, 398, 23, 82, 440, 169, 382, 420]"
122,122,"[712, 55, 425, 57, 89, 84, 14, 54, 713, 86, 22, 646, 403, 420, 382, 434, 5, 29]"
123,123,"[57, 61, 14, 409, 84, 17, 23, 22, 430, 19, 398, 9, 402, 5, 432, 425, 169, 382]"
124,124,"[61, 398, 57, 14, 55, 23, 84, 382, 5, 22, 169, 17, 21, 393, 430, 19, 434, 88]"
125,125,"[57, 61, 14, 430, 22, 84, 398, 17, 16, 383, 82, 15, 432, 55, 23, 393, 409, 402]"
126,126,"[57, 61, 14, 22, 9, 430, 398, 409, 23, 84, 88, 19, 17, 25, 82, 420, 402, 432]"
127,127,"[82, 437, 84, 67, 57, 85, 41, 409, 440, 419, 61, 438, 5, 425, 422, 21, 433, 382]"
128,128,"[57, 61, 430, 409, 398, 14, 16, 84, 22, 23, 420, 432, 440, 9, 10, 382, 17, 19]"
129,129,"[57, 84, 61, 14, 22, 409, 398, 85, 23, 86, 17, 383, 420, 382, 430, 432, 9, 88]"
130,130,"[409, 23, 14, 22, 16, 84, 398, 57, 17, 402, 19, 61, 382, 379, 383, 169, 9, 396]"
131,131,"[57, 430, 61, 14, 22, 84, 23, 17, 25, 398, 409, 402, 420, 86, 382, 432, 16, 19]"
132,132,"[57, 14, 398, 61, 55, 23, 22, 17, 430, 409, 84, 19, 420, 402, 169, 29, 376, 89]"
133,133,"[57, 383, 382, 84, 14, 22, 61, 5, 376, 17, 398, 379, 23, 395, 88, 388, 19, 798]"
134,134,"[23, 84, 420, 396, 57, 82, 61, 19, 17, 383, 88, 42, 398, 14, 395, 89, 382, 430]"
135,135,"[57, 398, 61, 14, 84, 23, 382, 16, 425, 409, 22, 19, 395, 402, 383, 17, 29, 9]"
136,136,"[22, 14, 16, 23, 17, 400, 9, 398, 57, 0, 75, 19, 411, 409, 384, 421, 61, 55]"
137,137,"[409, 14, 425, 57, 61, 17, 9, 16, 54, 402, 169, 42, 384, 19, 398, 420, 43, 55]"
138,138,"[55, 57, 409, 61, 170, 16, 18, 169, 9, 104, 103, 41, 17, 798, 380, 23, 19, 398]"
139,139,"[57, 61, 23, 425, 398, 14, 19, 430, 22, 383, 84, 169, 17, 420, 89, 9, 25, 55]"
140,140,"[14, 409, 17, 22, 57, 61, 19, 16, 23, 55, 9, 411, 15, 398, 402, 396, 21, 41]"
141,141,"[55, 57, 382, 89, 84, 14, 420, 394, 42, 61, 22, 41, 11, 379, 398, 383, 380, 376]"
142,142,"[57, 420, 55, 19, 169, 22, 382, 383, 14, 23, 42, 54, 41, 61, 396, 388, 398, 430]"
143,143,"[57, 61, 84, 420, 14, 23, 425, 17, 398, 22, 41, 19, 169, 15, 409, 432, 396, 383]"
144,144,"[57, 61, 84, 14, 398, 23, 22, 430, 17, 19, 382, 383, 409, 88, 100, 21, 420, 26]"
145,145,"[383, 382, 57, 84, 398, 379, 5, 380, 376, 23, 22, 61, 798, 420, 14, 17, 384, 409]"
146,146,"[14, 55, 409, 57, 16, 398, 17, 402, 22, 23, 19, 9, 383, 420, 411, 61, 382, 41]"
147,147,"[55, 799, 798, 169, 198, 14, 812, 804, 808, 376, 379, 807, 88, 89, 19, 203, 380, 42]"
148,148,"[57, 14, 398, 84, 61, 23, 19, 17, 22, 409, 382, 411, 420, 9, 29, 383, 430, 384]"
149,149,"[712, 715, 731, 55, 714, 713, 722, 799, 724, 172, 365, 169, 807, 203, 134, 61, 41, 57]"
150,150,"[55, 14, 402, 384, 54, 41, 382, 169, 43, 23, 425, 42, 61, 57, 172, 398, 0, 88]"
151,151,"[57, 61, 84, 14, 16, 55, 382, 22, 430, 17, 380, 19, 420, 169, 409, 379, 398, 376]"
152,152,"[420, 169, 383, 84, 712, 89, 5, 382, 92, 134, 421, 425, 798, 25, 57, 804, 82, 14]"
153,153,"[57, 14, 55, 398, 23, 84, 22, 61, 383, 430, 169, 402, 0, 25, 170, 16, 17, 420]"
154,154,"[57, 61, 23, 22, 430, 14, 382, 420, 17, 19, 388, 383, 0, 379, 5, 84, 409, 432]"
155,155,"[57, 55, 61, 420, 16, 14, 22, 409, 84, 17, 430, 382, 82, 169, 398, 9, 19, 18]"
156,156,"[57, 61, 23, 409, 398, 29, 84, 17, 41, 54, 22, 15, 396, 14, 42, 395, 425, 383]"
157,157,"[55, 425, 398, 57, 14, 61, 23, 102, 43, 84, 22, 430, 712, 395, 402, 17, 391, 198]"
158,158,"[57, 61, 14, 23, 398, 430, 84, 169, 25, 17, 22, 88, 9, 170, 409, 16, 383, 420]"
159,159,"[61, 14, 57, 55, 16, 430, 398, 409, 22, 23, 84, 420, 382, 400, 384, 0, 17, 169]"
160,160,"[61, 57, 169, 398, 383, 382, 14, 41, 170, 22, 420, 157, 402, 84, 17, 23, 804, 798]"
161,161,"[398, 57, 84, 41, 61, 402, 42, 27, 23, 82, 14, 22, 409, 383, 395, 400, 425, 412]"
162,162,"[89, 22, 383, 5, 0, 82, 55, 420, 57, 712, 798, 134, 388, 376, 84, 88, 14, 41]"
163,163,"[57, 61, 420, 84, 383, 17, 380, 22, 382, 409, 14, 395, 388, 23, 379, 5, 396, 437]"
164,164,"[61, 57, 22, 430, 15, 14, 380, 398, 409, 84, 23, 19, 394, 17, 24, 9, 379, 41]"
165,165,"[55, 61, 430, 89, 798, 57, 198, 382, 41, 843, 21, 804, 170, 0, 165, 205, 104, 169]"
166,166,"[61, 84, 57, 55, 14, 440, 398, 21, 425, 42, 409, 391, 0, 393, 403, 399, 22, 82]"
167,167,"[57, 61, 14, 409, 430, 84, 22, 398, 23, 9, 17, 432, 169, 425, 382, 26, 55, 383]"
168,168,"[55, 54, 61, 412, 14, 67, 402, 89, 41, 425, 42, 398, 429, 57, 420, 22, 395, 84]"
169,169,"[382, 100, 61, 14, 377, 19, 57, 169, 380, 22, 379, 376, 17, 398, 383, 420, 170, 198]"
170,170,"[55, 57, 22, 398, 61, 23, 14, 54, 169, 9, 430, 88, 409, 19, 402, 425, 420, 84]"
171,171,"[57, 61, 55, 14, 409, 398, 84, 9, 430, 22, 382, 23, 43, 19, 17, 41, 169, 88]"
172,172,"[712, 398, 23, 84, 57, 19, 55, 724, 82, 61, 22, 420, 396, 388, 425, 421, 31, 430]"
173,173,"[57, 14, 55, 425, 61, 398, 23, 420, 82, 396, 430, 41, 22, 25, 42, 84, 88, 17]"
174,174,"[84, 57, 382, 82, 396, 14, 383, 430, 440, 398, 87, 23, 92, 402, 61, 379, 19, 420]"
175,175,"[57, 425, 22, 398, 61, 14, 54, 430, 388, 420, 84, 92, 55, 383, 19, 23, 17, 25]"
176,176,"[14, 57, 61, 398, 9, 41, 425, 409, 383, 388, 42, 382, 420, 54, 169, 16, 0, 17]"
177,177,"[57, 398, 14, 22, 61, 84, 23, 420, 17, 19, 430, 382, 440, 409, 432, 87, 16, 402]"
178,178,"[55, 202, 798, 104, 169, 198, 41, 57, 808, 804, 427, 88, 89, 61, 807, 248, 25, 23]"
179,179,"[57, 14, 420, 61, 23, 22, 430, 17, 432, 41, 92, 84, 409, 398, 19, 425, 15, 169]"
180,180,"[57, 22, 61, 430, 55, 14, 84, 382, 398, 409, 17, 383, 23, 5, 16, 9, 384, 19]"
181,181,"[61, 169, 420, 57, 41, 21, 89, 42, 14, 88, 84, 382, 432, 383, 384, 425, 92, 391]"
182,182,"[57, 14, 84, 382, 420, 100, 383, 380, 61, 22, 430, 5, 379, 432, 19, 23, 398, 388]"
183,183,"[55, 54, 420, 425, 61, 57, 402, 412, 42, 21, 41, 382, 391, 383, 92, 432, 67, 398]"
184,184,"[57, 61, 398, 84, 430, 14, 41, 420, 169, 22, 425, 82, 383, 17, 23, 88, 42, 409]"
185,185,"[57, 61, 25, 430, 420, 383, 82, 388, 440, 84, 431, 382, 14, 396, 22, 23, 432, 19]"
186,186,"[57, 430, 61, 84, 22, 396, 55, 425, 398, 420, 54, 24, 25, 23, 441, 31, 15, 14]"
187,187,"[398, 14, 17, 409, 22, 57, 23, 61, 16, 41, 402, 19, 84, 383, 55, 54, 5, 379]"
188,188,"[55, 54, 425, 23, 89, 14, 402, 102, 104, 376, 429, 853, 31, 248, 15, 157, 41, 398]"
189,189,"[23, 398, 57, 61, 31, 14, 409, 84, 420, 412, 42, 22, 19, 383, 54, 9, 396, 88]"
190,190,"[57, 61, 14, 84, 409, 398, 440, 23, 382, 22, 383, 430, 17, 27, 400, 384, 19, 88]"
191,191,"[61, 57, 409, 398, 22, 402, 14, 384, 411, 41, 16, 9, 430, 84, 23, 400, 21, 17]"
192,192,"[55, 54, 57, 425, 382, 420, 23, 92, 56, 88, 169, 437, 391, 67, 61, 383, 31, 84]"
193,193,"[57, 61, 84, 14, 23, 425, 430, 383, 398, 388, 382, 22, 420, 85, 54, 17, 42, 395]"
194,194,"[14, 61, 23, 41, 89, 57, 19, 88, 409, 55, 11, 430, 804, 15, 22, 21, 398, 712]"
195,195,"[55, 57, 104, 41, 798, 804, 427, 138, 202, 61, 169, 248, 23, 89, 441, 146, 88, 198]"
196,196,"[61, 57, 402, 398, 42, 55, 713, 21, 23, 395, 14, 388, 84, 804, 425, 27, 100, 29]"
197,197,"[57, 61, 398, 84, 430, 409, 23, 17, 22, 14, 9, 16, 402, 42, 41, 25, 82, 431]"
198,198,"[41, 382, 42, 23, 383, 384, 420, 88, 22, 432, 19, 409, 17, 14, 61, 437, 57, 441]"
199,199,"[57, 61, 430, 22, 382, 16, 440, 409, 432, 84, 14, 24, 41, 23, 398, 431, 383, 17]"
200,200,"[169, 798, 799, 57, 88, 420, 14, 61, 84, 808, 22, 19, 804, 157, 383, 89, 198, 165]"
201,201,"[14, 23, 409, 57, 398, 383, 19, 17, 411, 430, 61, 420, 29, 382, 395, 22, 396, 384]"
202,202,"[424, 798, 807, 441, 89, 0, 197, 804, 5, 383, 200, 712, 442, 157, 82, 169, 14, 55]"
203,203,"[57, 61, 14, 84, 430, 22, 82, 432, 25, 398, 383, 440, 85, 382, 23, 402, 420, 92]"
204,204,"[57, 61, 398, 14, 430, 84, 22, 420, 17, 9, 432, 23, 409, 382, 25, 15, 383, 395]"
205,205,"[57, 430, 55, 23, 14, 82, 22, 61, 398, 420, 54, 409, 17, 84, 396, 19, 25, 16]"
206,206,"[14, 57, 398, 23, 425, 61, 54, 84, 396, 42, 402, 400, 420, 41, 395, 21, 22, 388]"
207,207,"[57, 100, 61, 84, 23, 409, 14, 398, 17, 22, 19, 383, 382, 395, 16, 420, 402, 15]"
208,208,"[55, 14, 409, 84, 169, 712, 89, 57, 54, 9, 23, 22, 425, 402, 398, 382, 19, 17]"
209,209,"[14, 395, 82, 402, 57, 29, 22, 398, 84, 23, 31, 388, 89, 21, 61, 19, 85, 420]"
210,210,"[57, 61, 403, 434, 82, 84, 14, 23, 431, 441, 92, 383, 420, 19, 398, 55, 25, 17]"
211,211,"[55, 57, 398, 61, 402, 22, 23, 425, 54, 84, 16, 41, 384, 42, 19, 383, 409, 395]"
212,212,"[57, 61, 14, 398, 55, 169, 84, 22, 430, 23, 170, 89, 17, 383, 412, 395, 16, 157]"
213,213,"[57, 61, 84, 398, 22, 17, 14, 5, 437, 432, 23, 420, 430, 43, 440, 382, 62, 380]"
214,214,"[14, 19, 382, 57, 23, 61, 379, 22, 384, 20, 380, 0, 88, 26, 17, 383, 41, 55]"
215,215,"[55, 54, 395, 23, 14, 409, 169, 398, 17, 412, 425, 41, 57, 170, 88, 9, 402, 383]"
216,216,"[14, 23, 420, 57, 61, 31, 396, 21, 430, 409, 84, 398, 17, 383, 19, 55, 88, 395]"
217,217,"[57, 61, 398, 14, 84, 22, 23, 55, 430, 17, 409, 425, 16, 420, 19, 396, 383, 382]"
218,218,"[55, 14, 425, 61, 57, 89, 43, 405, 804, 798, 170, 712, 41, 23, 19, 393, 395, 84]"
219,219,"[57, 61, 398, 55, 430, 84, 396, 23, 54, 420, 42, 14, 169, 82, 22, 25, 17, 31]"
220,220,"[712, 55, 57, 84, 713, 14, 432, 382, 398, 17, 22, 169, 61, 409, 9, 23, 383, 92]"
221,221,"[57, 61, 84, 17, 9, 22, 14, 15, 430, 25, 55, 26, 23, 409, 398, 431, 383, 382]"
222,222,"[57, 84, 89, 61, 440, 22, 0, 14, 409, 398, 420, 82, 23, 17, 169, 5, 382, 431]"
223,223,"[57, 22, 430, 55, 19, 392, 382, 376, 380, 61, 379, 5, 14, 383, 17, 432, 398, 15]"
224,224,"[14, 23, 84, 9, 57, 61, 42, 398, 22, 17, 382, 88, 409, 19, 41, 420, 63, 383]"
225,225,"[57, 61, 17, 398, 430, 84, 55, 9, 14, 23, 393, 22, 388, 54, 19, 62, 25, 82]"
226,226,"[57, 61, 22, 14, 55, 432, 17, 409, 23, 383, 84, 430, 420, 41, 398, 402, 384, 82]"
227,227,"[57, 61, 14, 55, 23, 398, 396, 430, 402, 22, 420, 15, 409, 84, 27, 17, 383, 425]"
228,228,"[55, 54, 425, 88, 89, 169, 57, 42, 14, 420, 376, 798, 41, 383, 382, 92, 804, 402]"
