user_id,items,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
26,"[57, 22, 420, 84, 61, 398, 23, 55, 388, 14, 16, 430, 26, 89, 443]",57,22,420,84,61,398,23,55,388,14,16,430,26,89,443
27,"[57, 82, 398, 430, 395, 420, 85, 385, 92, 433, 23, 30, 86, 84, 14]",57,82,398,430,395,420,85,385,92,433,23,30,86,84,14
28,"[14, 57, 382, 379, 17, 15, 5, 376, 400, 398, 389, 61, 383, 102, 433]",14,57,382,379,17,15,5,376,400,398,389,61,383,102,433
29,"[57, 61, 409, 17, 19, 14, 84, 16, 22, 23, 380, 398, 382, 402, 55]",57,61,409,17,19,14,84,16,22,23,380,398,382,402,55
30,"[712, 57, 23, 41, 55, 22, 713, 84, 398, 420, 172, 61, 169, 88, 17]",712,57,23,41,55,22,713,84,398,420,172,61,169,88,17
31,"[82, 23, 87, 84, 61, 57, 398, 409, 17, 16, 14, 376, 392, 395, 5]",82,23,87,84,61,57,398,409,17,16,14,376,392,395,5
32,"[57, 61, 430, 398, 84, 23, 22, 14, 17, 82, 5, 420, 19, 409, 440]",57,61,430,398,84,23,22,14,17,82,5,420,19,409,440
33,"[383, 14, 382, 420, 61, 41, 57, 384, 17, 22, 432, 798, 169, 89, 88]",383,14,382,420,61,41,57,384,17,22,432,798,169,89,88
34,"[57, 23, 61, 420, 398, 84, 440, 443, 14, 0, 24, 92, 431, 383, 17]",57,23,61,420,398,84,440,443,14,0,24,92,431,383,17
35,"[57, 14, 61, 398, 54, 22, 409, 55, 42, 425, 84, 19, 15, 383, 17]",57,14,61,398,54,22,409,55,42,425,84,19,15,383,17
36,"[61, 57, 0, 169, 170, 171, 179, 84, 402, 382, 808, 804, 89, 398, 205]",61,57,0,169,170,171,179,84,402,382,808,804,89,398,205
37,"[57, 398, 14, 61, 22, 19, 17, 16, 82, 84, 23, 380, 402, 409, 15]",57,398,14,61,22,19,17,16,82,84,23,380,402,409,15
38,"[57, 409, 22, 84, 14, 9, 61, 55, 17, 799, 425, 420, 804, 54, 169]",57,409,22,84,14,9,61,55,17,799,425,420,804,54,169
39,"[15, 19, 26, 22, 380, 394, 57, 14, 17, 61, 24, 393, 398, 379, 402]",15,19,26,22,380,394,57,14,17,61,24,393,398,379,402
40,"[14, 398, 57, 84, 22, 396, 383, 23, 17, 41, 61, 402, 382, 30, 19]",14,398,57,84,22,396,383,23,17,41,61,402,382,30,19
41,"[61, 14, 57, 22, 23, 84, 21, 396, 384, 402, 400, 398, 409, 41, 420]",61,14,57,22,23,84,21,396,384,402,400,398,409,41,420
42,"[57, 61, 55, 425, 14, 420, 17, 396, 409, 23, 398, 42, 84, 41, 22]",57,61,55,425,14,420,17,396,409,23,398,42,84,41,22
43,"[14, 100, 84, 409, 57, 169, 22, 17, 15, 55, 382, 16, 384, 88, 23]",14,100,84,409,57,169,22,17,15,55,382,16,384,88,23
44,"[712, 713, 715, 55, 714, 383, 724, 89, 402, 23, 19, 398, 57, 396, 421]",712,713,715,55,714,383,724,89,402,23,19,398,57,396,421
45,"[57, 14, 22, 23, 84, 82, 17, 61, 409, 396, 430, 398, 24, 19, 420]",57,14,22,23,84,82,17,61,409,396,430,398,24,19,420
46,"[712, 713, 799, 798, 55, 169, 804, 383, 808, 5, 134, 425, 149, 146, 170]",712,713,799,798,55,169,804,383,808,5,134,425,149,146,170
47,"[14, 84, 57, 61, 398, 22, 82, 409, 19, 29, 42, 402, 23, 30, 5]",14,84,57,61,398,22,82,409,19,29,42,402,23,30,5
48,"[57, 61, 14, 22, 432, 17, 23, 19, 409, 84, 430, 25, 24, 376, 383]",57,61,14,22,432,17,23,19,409,84,430,25,24,376,383
49,"[57, 61, 430, 14, 382, 84, 5, 169, 383, 22, 432, 804, 17, 420, 399]",57,61,430,14,382,84,5,169,383,22,432,804,17,420,399
50,"[57, 61, 84, 23, 430, 100, 15, 409, 9, 384, 14, 420, 383, 22, 398]",57,61,84,23,430,100,15,409,9,384,14,420,383,22,398
51,"[14, 398, 54, 425, 57, 23, 22, 61, 92, 382, 383, 420, 26, 25, 29]",14,398,54,425,57,23,22,61,92,382,383,420,26,25,29
52,"[84, 57, 22, 55, 409, 402, 61, 398, 82, 23, 430, 420, 383, 425, 14]",84,57,22,55,409,402,61,398,82,23,430,420,383,425,14
53,"[14, 57, 22, 61, 19, 15, 398, 382, 17, 55, 430, 402, 409, 5, 440]",14,57,22,61,19,15,398,382,17,55,430,402,409,5,440
54,"[57, 14, 17, 22, 61, 23, 402, 84, 409, 398, 100, 430, 420, 9, 19]",57,14,17,22,61,23,402,84,409,398,100,430,420,9,19
55,"[57, 84, 61, 14, 54, 100, 398, 430, 22, 409, 17, 420, 383, 55, 382]",57,84,61,14,54,100,398,430,22,409,17,420,383,55,382
56,"[55, 57, 23, 14, 54, 22, 409, 15, 430, 17, 85, 61, 84, 19, 398]",55,57,23,14,54,22,409,15,430,17,85,61,84,19,398
57,"[57, 61, 84, 22, 430, 14, 9, 398, 25, 23, 19, 409, 82, 382, 432]",57,61,84,22,430,14,9,398,25,23,19,409,82,382,432
58,"[22, 57, 376, 14, 712, 23, 61, 17, 15, 383, 89, 394, 398, 380, 88]",22,57,376,14,712,23,61,17,15,383,89,394,398,380,88
59,"[173, 198, 798, 169, 55, 171, 172, 808, 14, 804, 398, 89, 799, 420, 57]",173,198,798,169,55,171,172,808,14,804,398,89,799,420,57
60,"[57, 23, 61, 14, 409, 17, 398, 22, 430, 84, 382, 432, 19, 384, 396]",57,23,61,14,409,17,398,22,430,84,382,432,19,384,396
61,"[57, 14, 61, 420, 88, 5, 17, 799, 22, 409, 169, 382, 398, 84, 23]",57,14,61,420,88,5,17,799,22,409,169,382,398,84,23
62,"[55, 57, 14, 0, 17, 22, 440, 382, 398, 16, 409, 19, 379, 61, 84]",55,57,14,0,17,22,440,382,398,16,409,19,379,61,84
63,"[169, 804, 170, 179, 89, 171, 798, 173, 146, 14, 172, 808, 157, 23, 198]",169,804,170,179,89,171,798,173,146,14,172,808,157,23,198
64,"[61, 425, 55, 57, 14, 440, 248, 54, 22, 420, 384, 398, 432, 41, 84]",61,425,55,57,14,440,248,54,22,420,384,398,432,41,84
65,"[14, 57, 22, 398, 409, 19, 420, 411, 402, 388, 61, 82, 30, 395, 23]",14,57,22,398,409,19,420,411,402,388,61,82,30,395,23
66,"[57, 14, 61, 82, 41, 398, 402, 22, 430, 425, 89, 42, 409, 23, 84]",57,14,61,82,41,398,402,22,430,425,89,42,409,23,84
67,"[55, 409, 14, 23, 17, 89, 169, 170, 382, 19, 88, 398, 402, 61, 42]",55,409,14,23,17,89,169,170,382,19,88,398,402,61,42
68,"[14, 17, 57, 84, 409, 23, 19, 61, 22, 398, 430, 5, 55, 82, 382]",14,17,57,84,409,23,19,61,22,398,430,5,55,82,382
69,"[409, 17, 57, 398, 23, 61, 19, 14, 22, 84, 382, 402, 88, 388, 712]",409,17,57,398,23,61,19,14,22,84,382,402,88,388,712
70,"[57, 61, 398, 100, 84, 23, 409, 27, 22, 430, 383, 411, 395, 382, 420]",57,61,398,100,84,23,409,27,22,430,383,411,395,382,420
71,"[57, 55, 61, 398, 22, 14, 16, 84, 425, 17, 23, 411, 402, 88, 383]",57,55,61,398,22,14,16,84,425,17,23,411,402,88,383
72,"[398, 57, 14, 23, 61, 17, 84, 382, 409, 402, 22, 19, 383, 432, 16]",398,57,14,23,61,17,84,382,409,402,22,19,383,432,16
73,"[84, 14, 23, 398, 57, 17, 383, 432, 382, 61, 384, 409, 25, 396, 402]",84,14,23,398,57,17,383,432,382,61,384,409,25,396,402
74,"[14, 41, 23, 57, 102, 54, 55, 409, 379, 376, 412, 425, 5, 26, 0]",14,41,23,57,102,54,55,409,379,376,412,425,5,26,0
75,"[57, 14, 61, 409, 16, 712, 23, 89, 88, 398, 84, 41, 169, 171, 385]",57,14,61,409,16,712,23,89,88,398,84,41,169,171,385
76,"[54, 61, 55, 57, 14, 425, 398, 23, 409, 430, 89, 22, 383, 170, 9]",54,61,55,57,14,425,398,23,409,430,89,22,383,170,9
77,"[57, 61, 82, 22, 430, 84, 14, 30, 420, 23, 409, 379, 0, 16, 395]",57,61,82,22,430,84,14,30,420,23,409,379,0,16,395
78,"[57, 14, 430, 432, 61, 41, 383, 382, 402, 0, 425, 398, 89, 17, 391]",57,14,430,432,61,41,383,382,402,0,425,398,89,17,391
79,"[0, 199, 92, 391, 813, 812, 149, 89, 134, 229, 231, 160, 5, 168, 382]",0,199,92,391,813,812,149,89,134,229,231,160,5,168,382
80,"[61, 57, 23, 14, 398, 84, 430, 409, 440, 22, 19, 87, 17, 441, 420]",61,57,23,14,398,84,430,409,440,22,19,87,17,441,420
81,"[14, 57, 61, 383, 169, 17, 409, 382, 54, 19, 420, 41, 402, 9, 42]",14,57,61,383,169,17,409,382,54,19,420,41,402,9,42
82,"[55, 57, 14, 54, 84, 409, 9, 82, 61, 420, 23, 398, 430, 22, 440]",55,57,14,54,84,409,9,82,61,420,23,398,430,22,440
83,"[57, 61, 14, 23, 398, 409, 84, 22, 16, 17, 395, 19, 85, 432, 411]",57,61,14,23,398,409,84,22,16,17,395,19,85,432,411
84,"[57, 61, 398, 17, 22, 409, 14, 23, 25, 84, 430, 19, 402, 384, 382]",57,61,398,17,22,409,14,23,25,84,430,19,402,384,382
85,"[425, 55, 23, 42, 402, 41, 14, 376, 61, 31, 412, 420, 398, 380, 9]",425,55,23,42,402,41,14,376,61,31,412,420,398,380,9
86,"[14, 23, 57, 17, 409, 61, 398, 84, 420, 388, 19, 22, 402, 395, 100]",14,23,57,17,409,61,398,84,420,388,19,22,402,395,100
87,"[57, 61, 23, 84, 55, 14, 425, 409, 398, 382, 432, 430, 88, 22, 17]",57,61,23,84,55,14,425,409,398,382,432,430,88,22,17
88,"[55, 22, 57, 104, 19, 0, 379, 17, 430, 23, 409, 84, 100, 29, 15]",55,22,57,104,19,0,379,17,430,23,409,84,100,29,15
89,"[57, 55, 398, 61, 84, 169, 425, 430, 23, 22, 17, 170, 88, 14, 443]",57,55,398,61,84,169,425,430,23,22,17,170,88,14,443
90,"[54, 55, 412, 420, 41, 42, 398, 67, 402, 14, 425, 92, 395, 21, 61]",54,55,412,420,41,42,398,67,402,14,425,92,395,21,61
91,"[14, 55, 16, 425, 23, 409, 57, 22, 169, 17, 402, 382, 383, 170, 398]",14,55,16,425,23,409,57,22,169,17,402,382,383,170,398
92,"[55, 14, 169, 382, 376, 16, 425, 22, 19, 398, 420, 100, 57, 180, 808]",55,14,169,382,376,16,425,22,19,398,420,100,57,180,808
93,"[55, 169, 170, 172, 84, 88, 173, 14, 54, 798, 146, 157, 43, 376, 171]",55,169,170,172,84,88,173,14,54,798,146,157,43,376,171
94,"[55, 14, 425, 89, 54, 31, 400, 23, 42, 382, 712, 19, 383, 798, 399]",55,14,425,89,54,31,400,23,42,382,712,19,383,798,399
95,"[14, 57, 22, 23, 17, 84, 61, 398, 19, 382, 395, 5, 376, 420, 383]",14,57,22,23,17,84,61,398,19,382,395,5,376,420,383
96,"[55, 57, 430, 402, 61, 41, 22, 420, 23, 54, 42, 425, 400, 43, 398]",55,57,430,402,61,41,22,420,23,54,42,425,400,43,398
97,"[57, 61, 22, 19, 23, 17, 15, 14, 420, 398, 26, 432, 16, 383, 84]",57,61,22,19,23,17,15,14,420,398,26,432,16,383,84
98,"[57, 61, 84, 23, 22, 14, 382, 383, 409, 55, 379, 19, 420, 432, 380]",57,61,84,23,22,14,382,383,409,55,379,19,420,432,380
99,"[57, 61, 23, 84, 22, 17, 398, 55, 14, 16, 19, 376, 379, 29, 402]",57,61,23,84,22,17,398,55,14,16,19,376,379,29,402
100,"[57, 61, 42, 398, 14, 22, 84, 409, 402, 23, 17, 430, 16, 425, 54]",57,61,42,398,14,22,84,409,402,23,17,430,16,425,54
101,"[104, 55, 100, 798, 84, 23, 409, 379, 54, 804, 425, 146, 5, 14, 17]",104,55,100,798,84,23,409,379,54,804,425,146,5,14,17
102,"[84, 61, 82, 23, 57, 87, 430, 398, 22, 420, 16, 409, 17, 440, 395]",84,61,82,23,57,87,430,398,22,420,16,409,17,440,395
103,"[57, 84, 420, 16, 198, 808, 391, 799, 61, 807, 82, 804, 392, 14, 67]",57,84,420,16,198,808,391,799,61,807,82,804,392,14,67
104,"[55, 57, 61, 84, 22, 23, 409, 31, 383, 88, 420, 382, 14, 425, 9]",55,57,61,84,22,23,409,31,383,88,420,382,14,425,9
105,"[57, 398, 61, 14, 84, 55, 22, 23, 430, 409, 17, 440, 19, 396, 420]",57,398,61,14,84,55,22,23,430,409,17,440,19,396,420
106,"[57, 14, 22, 61, 84, 712, 169, 420, 17, 5, 88, 388, 89, 799, 82]",57,14,22,61,84,712,169,420,17,5,88,388,89,799,82
107,"[57, 84, 383, 382, 61, 169, 25, 170, 23, 55, 5, 14, 398, 430, 82]",57,84,383,382,61,169,25,170,23,55,5,14,398,430,82
108,"[409, 14, 16, 17, 89, 57, 169, 425, 25, 85, 402, 41, 42, 15, 396]",409,14,16,17,89,57,169,425,25,85,402,41,42,15,396
109,"[57, 61, 425, 398, 430, 55, 14, 409, 16, 23, 17, 22, 84, 384, 393]",57,61,425,398,430,55,14,409,16,23,17,22,84,384,393
110,"[14, 26, 41, 380, 61, 402, 382, 396, 55, 398, 57, 19, 42, 82, 85]",14,26,41,380,61,402,382,396,55,398,57,19,42,82,85
111,"[14, 383, 5, 22, 61, 57, 23, 432, 19, 382, 0, 89, 384, 55, 84]",14,383,5,22,61,57,23,432,19,382,0,89,384,55,84
112,"[382, 380, 377, 384, 57, 383, 379, 61, 14, 169, 420, 398, 5, 100, 432]",382,380,377,384,57,383,379,61,14,169,420,398,5,100,432
113,"[23, 89, 57, 22, 383, 382, 19, 15, 169, 396, 31, 804, 376, 84, 88]",23,89,57,22,383,382,19,15,169,396,31,804,376,84,88
114,"[57, 61, 398, 84, 22, 420, 430, 27, 23, 55, 92, 17, 409, 14, 395]",57,61,398,84,22,420,430,27,23,55,92,17,409,14,395
115,"[57, 14, 23, 430, 17, 61, 22, 84, 420, 382, 379, 15, 100, 19, 431]",57,14,23,430,17,61,22,84,420,382,379,15,100,19,431
116,"[57, 14, 409, 23, 22, 61, 84, 398, 17, 16, 100, 432, 82, 19, 383]",57,14,409,23,22,61,84,398,17,16,100,432,82,19,383
117,"[57, 22, 14, 55, 61, 430, 82, 84, 54, 420, 23, 409, 5, 203, 398]",57,22,14,55,61,430,82,84,54,420,23,409,5,203,398
118,"[14, 15, 425, 61, 54, 248, 57, 398, 23, 412, 89, 88, 82, 382, 440]",14,15,425,61,54,248,57,398,23,412,89,88,82,382,440
119,"[57, 14, 61, 409, 22, 17, 19, 23, 398, 16, 382, 402, 383, 379, 64]",57,14,61,409,22,17,19,23,398,16,382,402,383,379,64
120,"[14, 22, 57, 17, 61, 16, 84, 430, 9, 18, 23, 409, 86, 383, 420]",14,22,57,17,61,16,84,430,9,18,23,409,86,383,420
121,"[57, 84, 55, 432, 61, 409, 430, 82, 14, 88, 399, 89, 382, 23, 384]",57,84,55,432,61,409,430,82,14,88,399,89,382,23,384
122,"[55, 712, 425, 724, 14, 89, 57, 302, 434, 86, 403, 22, 646, 84, 382]",55,712,425,724,14,89,57,302,434,86,403,22,646,84,382
123,"[57, 61, 430, 14, 84, 409, 23, 432, 17, 19, 9, 398, 376, 22, 425]",57,61,430,14,84,409,23,432,17,19,9,398,376,22,425
124,"[398, 61, 57, 23, 14, 88, 430, 396, 382, 22, 19, 406, 434, 402, 63]",398,61,57,23,14,88,430,396,382,22,19,406,434,402,63
125,"[57, 61, 14, 22, 398, 84, 17, 430, 55, 393, 432, 383, 23, 395, 82]",57,61,14,22,398,84,17,430,55,393,432,383,23,395,82
126,"[57, 61, 14, 22, 430, 84, 398, 409, 23, 9, 82, 420, 431, 16, 17]",57,61,14,22,430,84,398,409,23,9,82,420,431,16,17
127,"[437, 82, 84, 409, 67, 153, 422, 41, 419, 420, 85, 57, 438, 61, 396]",437,82,84,409,67,153,422,41,419,420,85,57,438,61,396
128,"[57, 61, 430, 409, 398, 23, 14, 16, 84, 22, 420, 17, 432, 5, 440]",57,61,430,409,398,23,14,16,84,22,420,17,432,5,440
129,"[84, 14, 22, 409, 57, 23, 86, 61, 382, 383, 85, 398, 9, 420, 17]",84,14,22,409,57,23,86,61,382,383,85,398,9,420,17
130,"[409, 23, 14, 57, 16, 84, 22, 398, 17, 382, 19, 402, 379, 61, 5]",409,23,14,57,16,84,22,398,17,382,19,402,379,61,5
131,"[57, 14, 61, 22, 430, 84, 23, 17, 25, 398, 420, 409, 402, 86, 19]",57,14,61,22,430,84,23,17,25,398,420,409,402,86,19
132,"[57, 61, 14, 398, 430, 409, 17, 55, 23, 16, 22, 84, 376, 19, 420]",57,61,14,398,430,409,17,55,23,16,22,84,376,19,420
133,"[57, 14, 61, 383, 22, 84, 382, 5, 398, 376, 395, 379, 88, 23, 388]",57,14,61,383,22,84,382,5,398,376,395,379,88,23,388
134,"[420, 84, 57, 82, 23, 396, 61, 22, 383, 395, 85, 19, 14, 86, 165]",420,84,57,82,23,396,61,22,383,395,85,19,14,86,165
135,"[57, 398, 84, 61, 14, 23, 425, 29, 395, 409, 9, 396, 16, 382, 402]",57,398,84,61,14,23,425,29,395,409,9,396,16,382,402
136,"[22, 14, 23, 16, 400, 17, 411, 398, 9, 379, 384, 57, 75, 421, 92]",22,14,23,16,400,17,411,398,9,379,384,57,75,421,92
137,"[425, 409, 61, 14, 57, 398, 169, 17, 9, 420, 16, 41, 84, 54, 402]",425,409,61,14,57,398,169,17,9,420,16,41,84,54,402
138,"[55, 61, 409, 170, 169, 57, 9, 18, 84, 23, 19, 16, 64, 14, 17]",55,61,409,170,169,57,9,18,84,23,19,16,64,14,17
139,"[57, 61, 398, 23, 19, 425, 17, 22, 89, 383, 14, 409, 15, 396, 430]",57,61,398,23,19,425,17,22,89,383,14,409,15,396,430
140,"[14, 409, 57, 61, 17, 22, 19, 9, 16, 411, 23, 84, 712, 55, 89]",14,409,57,61,17,22,19,9,16,411,23,84,712,55,89
141,"[55, 57, 84, 89, 382, 420, 14, 61, 16, 41, 11, 379, 99, 42, 9]",55,57,84,89,382,420,14,61,16,41,11,379,99,42,9
142,"[57, 169, 61, 383, 382, 420, 14, 41, 384, 55, 22, 432, 42, 62, 88]",57,169,61,383,382,420,14,41,384,55,22,432,42,62,88
143,"[61, 57, 84, 398, 420, 425, 22, 400, 432, 17, 14, 23, 169, 19, 430]",61,57,84,398,420,425,22,400,432,17,14,23,169,19,430
144,"[57, 14, 61, 84, 19, 17, 23, 22, 430, 398, 382, 383, 5, 420, 29]",57,14,61,84,19,17,23,22,430,398,382,383,5,420,29
145,"[382, 383, 57, 84, 384, 380, 376, 23, 379, 398, 5, 26, 169, 14, 22]",382,383,57,84,384,380,376,23,379,398,5,26,169,14,22
146,"[14, 55, 409, 16, 57, 19, 17, 22, 23, 402, 425, 9, 398, 430, 88]",14,55,409,16,57,19,17,22,23,402,425,9,398,430,88
147,"[55, 798, 799, 169, 808, 804, 807, 198, 812, 379, 380, 800, 14, 157, 19]",55,798,799,169,808,804,807,198,812,379,380,800,14,157,19
148,"[14, 57, 398, 84, 23, 61, 19, 409, 382, 9, 22, 29, 420, 17, 432]",14,57,398,84,23,61,19,409,382,9,22,29,420,17,432
149,"[712, 713, 715, 55, 714, 383, 724, 89, 402, 23, 19, 398, 57, 29, 421]",712,713,715,55,714,383,724,89,402,23,19,398,57,29,421
150,"[55, 14, 402, 54, 384, 382, 88, 169, 376, 43, 41, 21, 409, 440, 23]",55,14,402,54,384,382,88,169,376,43,41,21,409,440,23
151,"[57, 61, 84, 14, 55, 430, 382, 409, 22, 420, 19, 23, 17, 169, 383]",57,61,84,14,55,430,382,409,22,420,19,23,17,169,383
152,"[5, 420, 169, 89, 383, 798, 382, 804, 84, 712, 92, 421, 799, 134, 25]",5,420,169,89,383,798,382,804,84,712,92,421,799,134,25
153,"[57, 14, 55, 398, 61, 84, 23, 22, 383, 169, 430, 17, 402, 19, 25]",57,14,55,398,61,84,23,22,383,169,430,17,402,19,25
154,"[61, 57, 23, 17, 22, 14, 383, 382, 19, 420, 379, 409, 430, 388, 26]",61,57,23,17,22,14,383,382,19,420,379,409,430,388,26
155,"[57, 14, 55, 61, 420, 22, 16, 84, 17, 409, 10, 9, 100, 382, 430]",57,14,55,61,420,22,16,84,17,409,10,9,100,382,430
156,"[57, 61, 23, 409, 383, 398, 84, 15, 29, 425, 54, 169, 42, 396, 22]",57,61,23,409,383,398,84,15,29,425,54,169,42,396,22
157,"[57, 425, 398, 55, 430, 61, 14, 23, 17, 102, 396, 84, 22, 43, 395]",57,425,398,55,430,61,14,23,17,102,396,84,22,43,395
158,"[57, 61, 14, 23, 430, 84, 409, 169, 398, 17, 16, 22, 25, 170, 88]",57,61,14,23,430,84,409,169,398,17,16,22,25,170,88
159,"[14, 61, 55, 57, 16, 398, 84, 23, 409, 22, 440, 17, 430, 400, 89]",14,61,55,57,16,398,84,23,409,22,440,17,430,400,89
160,"[61, 57, 14, 398, 16, 382, 22, 169, 430, 420, 383, 384, 63, 41, 19]",61,57,14,398,16,382,22,169,430,420,383,384,63,41,19
161,"[398, 57, 61, 84, 41, 82, 425, 23, 409, 27, 395, 402, 42, 14, 22]",398,57,61,84,41,82,425,23,409,27,395,402,42,14,22
162,"[89, 22, 376, 383, 88, 5, 420, 0, 798, 712, 61, 425, 135, 134, 54]",89,22,376,383,88,5,420,0,798,712,61,425,135,134,54
163,"[420, 57, 22, 383, 61, 17, 380, 382, 409, 379, 14, 84, 5, 88, 398]",420,57,22,383,61,17,380,382,409,379,14,84,5,88,398
164,"[22, 15, 57, 380, 61, 19, 26, 394, 14, 398, 430, 24, 17, 409, 84]",22,15,57,380,61,19,26,394,14,398,430,24,17,409,84
165,"[55, 61, 89, 798, 170, 169, 409, 14, 430, 171, 16, 62, 198, 57, 808]",55,61,89,798,170,169,409,14,430,171,16,62,198,57,808
166,"[84, 61, 57, 100, 401, 398, 399, 391, 712, 65, 409, 443, 165, 21, 440]",84,61,57,100,401,398,399,391,712,65,409,443,165,21,440
167,"[57, 61, 84, 14, 430, 409, 22, 9, 23, 398, 19, 382, 17, 25, 425]",57,61,84,14,430,409,22,9,23,398,19,382,17,25,425
168,"[61, 55, 14, 54, 67, 412, 429, 42, 22, 398, 41, 409, 712, 402, 57]",61,55,14,54,67,412,429,42,22,398,41,409,712,402,57
169,"[382, 100, 14, 376, 377, 169, 99, 61, 19, 380, 17, 379, 22, 57, 383]",382,100,14,376,377,169,99,61,19,380,17,379,22,57,383
170,"[55, 22, 54, 14, 398, 57, 61, 169, 23, 9, 88, 425, 170, 173, 62]",55,22,54,14,398,57,61,169,23,9,88,425,170,173,62
171,"[61, 57, 14, 9, 55, 398, 409, 22, 43, 84, 430, 23, 17, 382, 19]",61,57,14,9,55,398,409,22,43,84,430,23,17,382,19
172,"[712, 84, 14, 57, 23, 19, 82, 92, 398, 61, 383, 55, 22, 808, 409]",712,84,14,57,23,19,82,92,398,61,383,55,22,808,409
173,"[57, 55, 14, 425, 61, 23, 398, 169, 396, 88, 17, 22, 42, 25, 412]",57,55,14,425,61,23,398,169,396,88,17,22,42,25,412
174,"[84, 396, 82, 14, 382, 92, 57, 23, 420, 440, 5, 398, 383, 430, 402]",84,396,82,14,382,92,57,23,420,440,5,398,383,430,402
175,"[57, 425, 22, 92, 430, 388, 29, 420, 398, 383, 14, 61, 84, 54, 402]",57,425,22,92,430,388,29,420,398,383,14,61,84,54,402
